FECHAHORA,"HARDWARE_NAME","MONITOR_1_SN","LLDP_RID1_SWITCH_PORTDESCR","LLDP_RID1_SWITCH_SYSNAME","p4k_FREQUENT_USERS"
"23-03-2022",S4AY2961,V902Z2NA,gi1,"SW-AMU139V0-24","9937->39;22389->23;6188->11"
"23-03-2022",S4PL3938,V305BHAK,"-","-","1305->49;11875->39;7486->29"
"23-03-2022",S4PL3527,V305BH21,"PC Port","SEP247E12BF8990.asepeyo.site","9494->35;12777->9;23375->9"
"23-03-2022",S4AV0105,V902Z3RB,gi17,"SW-AMU139V0-15","21211->37;6186->34;9986->27"
"23-03-2022",S4AY2926,V902Z2M6,"-","-","1346->57;12853->31;23415->30"
"23-03-2022",S4PL4067,V305BG2F,"-","-","27443->15;14621->10;13614->6"
"23-03-2022",S4AU9072,V902V2PG,gi19,"SW-AMU139V0-27","26809->24;3860->16;9755->12"
"23-03-2022",S4AU9072,V902V2PG,gi19,"SW-AMU139V0-27","26809->23;3860->16;9755->12"
"23-03-2022",S4AU9072,V902V2PG,gi19,"SW-AMU139V0-27","26809->22;3860->16;9755->12"
"23-03-2022",S4AU7137,V902Z39F,"-","-","81241->7;27443->6;25551->5"
"23-03-2022",S4PL8663,V304Y180,"-","-","1220->36;10287->18;9124->13"
"23-03-2022",S4AV0482,V902Z39M,gi8,"SW-AMU139V0-29","6074->50;26481->16;24369->8"
"23-03-2022",S4PL8588,V305BHRH,gi8,"SW-AMU139V0-13","5370->22"
"23-03-2022",S4PL3954,V305BK1Y,"-","-","10379->46;26335->28;14479->26"
"23-03-2022",S4PL3941,V305BKL9,"-","-","20623->56;23611->56;24687->42"
"23-03-2022",S4AU7289,V902Z3AB,"-","-","14545->47;9306->34;15501->7"
"23-03-2022",S4PL3941,V305BKL9,"-","-","20623->56;23611->55;24687->42"
"23-03-2022",S4PL3527,V305BH21,"-","-","9494->35;23375->9;12777->8"
"23-03-2022",S4PL3941,V305BKL9,"PC Port","SEP247E12BFD070.asepeyo.site","20623->56;23611->54;24687->42"
"23-03-2022",S4AY2961,V902Z2NA,gi1,"SW-AMU139V0-24","9937->39;22389->23;6188->11"
"23-03-2022",S4AY2986,V902Z2XV,gi13,"SW-AMU139V0-24","4070->30;12691->26;1277->23"
"23-03-2022",S4PL3818,V305BHVV,"-","-","23877->8;27333->6;3192->6"
"23-03-2022",S4AU7137,V902Z39F,"-","-","27443->6;81241->6;25551->5"
"23-03-2022",S4AY2880,V902Z2Y5,gi17,"SW-AMU139V0-20","0838->30;23913->28;23235->1"
"23-03-2022",S4AU6938,V902Z39Z,gi9,"SW-AMU139V0-7","7305->16;6395->14;15192->12"
"23-03-2022",S4PL4467,V305BHBL,gi3,"SW-AMU139V0-32","27333->17;23877->4;24673->1"
"23-03-2022",S4AY2908,V902Z3N5,"PC Port","SEP247E12BF77A1.asepeyo.site","27413->25;1370->22;12853->18"
"23-03-2022",PC053VBN,"VL-ZGR67","-","-","25917->37;2349->35;26481->1"
"23-03-2022",S4AY2975,V902Z3ZZ,"PC Port","SEP009AD2F08AA2.asepeyo.site","22421->130;27083->50;10934->6"
"23-03-2022",S4AV0105,V902Z3RB,gi17,"SW-AMU139V0-15","21211->37;6186->34;9986->27"
"23-03-2022",S4AY2926,V902Z2M6,"PC Port","SEPB4A8B969C8DC.asepeyo.site","1346->56;12853->31;23415->30"
"23-03-2022",S4AV0146,V902Z3RK,gi19,"SW-AMU139V0-39","12777->60;27849->35;27729->26"
"23-03-2022",S4PL3873,V305BH8R,"-","-","14681->20;13786->20;7305->16"
"23-03-2022",S4PL4073,V305BG2C,"-","-","15192->19;12907->15;7305->15"
"23-03-2022",S4AU7083,V902Z3NC,"-","-","26307->24;27413->21;1349->15"
"23-03-2022",S4PL3327,V305BHLB,gi20,"SW-AMU139V0-36","6425->45;1350->7;12498->6"
"23-03-2022",S4AY2907,V902Z3M9,gi4,"SW-AMU139V0-5","1370->44;10934->8;1349->6"
"23-03-2022",S4PL3327,V305BHLB,"-","-","6425->45;1350->7;12498->6"
"23-03-2022",S4PL8588,V305BHRH,"-","-","5370->21"
"23-03-2022",S4AU7258,0,gi12,"SW-AMU139V0-29","4003->57;6935->51;14457->4"
"23-03-2022",S4PL4534,V305BFMC,"-","-","27443->24;24673->5;27019->3"
"23-03-2022",S4AU4974,V902Z3WB,gi15,"SW-AMU139V0-30","26481->53;10047->22;14457->7"
"23-03-2022",S4AV0275,V902V2X1,"-","-","6877->57;23299->33;10199->31"
"23-03-2022",S4PL3327,V305BHLB,"-","-","6425->45;1350->7;12498->6"
"23-03-2022",S4PL0167,V305DFLX,gi12,"SW-AMU139V0-12","4142->22"
"23-03-2022",S4AV0482,V902Z39M,gi8,"SW-AMU139V0-29","6074->50;26481->15;24369->8"
"23-03-2022",S4AU4974,V902Z3WB,gi15,"SW-AMU139V0-30","26481->53;10047->21;14457->7"
"23-03-2022",S4PL4753,V305BHAF,"-","-","1254->40"
"23-03-2022",S4PL4554,V305BK1V,gi4,"SWITCH-INFORMATICA","1359->56;12660->2;20951->1"
"23-03-2022",S4PL4531,V305BFM8,gi15,"SW-AMU139V0-3","6616->42;27257->2"
"23-03-2022",S4PL4774,V305DFM3,"-","-","1366->49"
"23-03-2022",S4AY2961,V902Z2NA,gi1,"SW-AMU139V0-24","9937->39;22389->22;6188->11"
"23-03-2022",S4AV0275,V902V2X1,"-","-","6877->56;23299->33;10199->31"
"23-03-2022",S4AY2961,V902Z2NA,gi1,"SW-AMU139V0-24","9937->38;22389->22;6188->11"
"23-03-2022",S4PL4876,V305BK3L,"-","-","3167->38"
"23-03-2022",S4AU7283,V902Z3A8,gi7,"SW-AMU139V0-36","11091->5;9938->5;13614->3"
"23-03-2022",PC053V62,16777216,"-","-","3802->7;4142->3;3445->2"
"23-03-2022",S4PL3818,V305BHVV,gi5,"SW-AMU139V0-26","23877->8;27333->6;3192->6"
"23-03-2022",S4PL8854,V305DFLT,gi11,"SW-AMU139V0-13","0968->31"
"23-03-2022",S4PL3873,V305BH8R,"-","-","14681->20;13786->20;7305->16"
"23-03-2022",S4PL3953,V305BH8Y,gi2,"SW-AMU139V0-28","3280->15;1366->9;81901->8"
"23-03-2022",S4PL8837,V305DFM6,"-","-","11214->18;10243->16;12691->14"
"23-03-2022",S4PL4067,V305BG2F,gi5,"SW-AMU139V0-25","27443->15;14621->10;13614->5"
"23-03-2022",S4PL8663,V304Y180,"-","-","1220->36;10287->18;9124->13"
"23-03-2022",PC053VF6,16843009,gi10,"SW-AMU139V0-3","6616->11;7452->1"
"23-03-2022",S4AY2856,V902Z400,gi12,"SW-AMU139V0-20","27083->76;23913->11;22421->5"
"23-03-2022",S4AU7205,V902Z30H,"PC Port","SEP247E12BF848A.asepeyo.site","81073->47;80492->7;81071->2"
"23-03-2022",S4PL4526,V305BHW9,gi7,"SW-AMU139V0-26","14621->14;81241->14;11091->8"
"23-03-2022",S4PL4550,V305BHBM,gi7,"SW-AMU139V0-32","3192->23"
"23-03-2022",S4AY2986,V902Z2XV,gi13,"SW-AMU139V0-24","4070->30;12691->26;1277->23"
"23-03-2022",S4AY2975,V902Z3ZZ,"PC Port","SEP009AD2F08AA2.asepeyo.site","22421->129;27083->50;10934->6"
"23-03-2022",S4PL4716,V305BH9F,"-","-","22473->10;25747->10;23603->7"
"23-03-2022",S4AV0275,V902V2X1,"-","-","6877->57;23299->33;10199->30"
"23-03-2022",S4PL0174,V305DFMB,gi16,"SW-AMU139V0-13","10023->20"
"23-03-2022",S4AY2880,V902Z2Y5,gi17,"SW-AMU139V0-20","0838->30;23913->27;23235->1"
"23-03-2022",S4PL3327,V305BHLB,gi20,"SW-AMU139V0-36","6425->44;1350->7;12498->6"
"23-03-2022",S4PL4543,V305BHA3,"-","-","1155->29;81755->9;27705->1"
"23-03-2022",S4AY2975,V902Z3ZZ,"PC Port","SEP009AD2F08AA2.asepeyo.site","22421->128;27083->50;10934->6"
"23-03-2022",S4AY2961,V902Z2NA,gi1,"SW-AMU139V0-24","9937->37;22389->22;6188->11"
"23-03-2022",S4AU7772,V902Z425,gi7,"SW-AMU139V0-24","26219->7;6615->3;6150->1"
"23-03-2022",S4PL8703,V305DFM4,"PC Port","SEP247E12BF7662.asepeyo.site","4222->44"
"23-03-2022",S4AY2975,V902Z3ZZ,"PC Port","SEP009AD2F08AA2.asepeyo.site","22421->128;27083->49;10934->6"
"23-03-2022",S4PL3110,V305BHBB,"-","-","1351->8;27443->6;6257->6"
"23-03-2022",S4PL9049,V305BK1W,"PC Port","SEP247E12BF8947.asepeyo.site","6341->45"
"23-03-2022",S4PL8689,V305BFCV,"-","-","7083->52"
"23-03-2022",S4PL3938,V305BHAK,gi15,"SW-AMU139V0-15","1305->50;11875->38;7486->29"
"23-03-2022",S4AY2986,V902Z2XV,gi13,"SW-AMU139V0-24","4070->30;12691->26;1277->22"
"23-03-2022",S4PL2948,V305BHNR,gi16,"SW-AMU139V0-5","1347->41"
"23-03-2022",S4PL4059,V305BK3A,"-","-","1358->56"
"23-03-2022",S4AU7137,V902Z39F,gi12,"SW-AMU139V0-36","27443->6;25551->5;25747->5"
"23-03-2022",S4PL3942,V305BH9D,"-","-","1330->44;27893->3"
"23-03-2022",PC053VFC,0,gi1,"SW-AMU139V0-5","9952->49;12072->1"
"23-03-2022",S4PL0174,V305DFMB,"-","-","10023->19"
"23-03-2022",S4PL4559,V305BH9G,"-","-","26271->35;27763->11"
"23-03-2022",S4AU7842,V902V2Y1,"-","-","20069->59"
"23-03-2022",S4PL3822,V305BK3T,gi3,"SW-AMU139V0-4","7452->40"
"23-03-2022",S4PL8663,V304Y180,"-","-","1220->35;10287->18;9124->13"
"23-03-2022",S4AU7283,V902Z3A8,gi7,"SW-AMU139V0-36","11091->5;9938->5;13614->3"
"23-03-2022",S4AV0275,V902V2X1,"-","-","6877->57;23299->33;10199->30"
"23-03-2022",S4AV0092,V902Z30R,gi17,"SW-AMU139V0-25","15548->64"
"23-03-2022",S4PL3954,V305BK1Y,"PC Port","SEPB4A8B969C80B.asepeyo.site","10379->46;26335->28;14479->26"
"23-03-2022",S4AU7293,V902Z3A2,"-","-","6061->51;9124->5;10287->4"
"23-03-2022",S4PL3814,V305BK3P,"PC Port","SEP247E12BFD03C.asepeyo.site","21459->41"
"23-03-2022",S4PL4531,V305BFM8,gi15,"SW-AMU139V0-3","6616->41;27257->2"
"23-03-2022",S4AU5084,V902V25V,gi18,"SW-AMU139V0-25","9862->53;1251->18;4003->2"
"23-03-2022",PC053VLA,0,eth0,SEP70B3171DE5F4,"10572->24"
"23-03-2022",S4AU7096,V902Z2MX,gi16,"SW-AMU139V0-31","81071->25;81091->21;81881->13"
"23-03-2022",S4PL4545,V305BK22,"-","-","3115->50"
"23-03-2022",S4AU7205,V902Z30H,"PC Port","SEP247E12BF848A.asepeyo.site","81073->46;80492->7;81071->2"
"23-03-2022",S4AY2918,V902Z3ZB,gi2,"SW-AMU139V0-6","6454->100"
"23-03-2022",S4AY2908,V902Z3N5,"PC Port","SEP247E12BF77A1.asepeyo.site","27413->25;1370->22;12853->18"
"23-03-2022",S4PL4222,V305DFLW,gi3,"SW-AMU139V0-12","4037->24"
"23-03-2022",S4PL4190,V305BFC0,gi4,"SW-AMU139V0-32","27257->40"
"23-03-2022",S4PL4917,V305BHAG,"-","-","25679->14;14350->10;24273->7"
"23-03-2022",S4AU4974,V902Z3WB,gi15,"SW-AMU139V0-30","26481->53;10047->21;14457->6"
"23-03-2022",S4PL4222,V305DFLW,"-","-","4037->23"
"23-03-2022",S4PL4252,V305BH8B,"-","-","27875->24;9306->1"
"23-03-2022",S4PL3933,V305BH9C,gi11,"SW-AMU139V0-27","1275->50"
"23-03-2022",S4PL3746,V305BH8D,gi9,"SW-AMU139V0-34","27095->49"
"23-03-2022",PC053VEM,52549101,"-","-","26589->46;24227->29;80790->10"
"23-03-2022",S4AV0105,V902Z3RB,"-","-","21211->37;6186->34;9986->28"
"23-03-2022",S4PL8588,V305BHRH,gi8,"SW-AMU139V0-13","5370->20"
"23-03-2022",PC053VFH,"VL-ZVG74","PC Port","SEPB4A8B969C86C.asepeyo.site","80734->50;84001->8;84005->3"
"23-03-2022",S4PL2948,V305BHNR,gi16,"SW-AMU139V0-5","1347->40"
"23-03-2022",S4M80643,0,gi13,"SW-AMU139V0-17","5095->55"
"23-03-2022",S4PL4452,V305BHAL,"-","-","21979->13;12376->9;24273->9"
"23-03-2022",S4PL8837,V305DFM6,"PC Port","SEP247E12BE6F25.asepeyo.site","11214->18;10243->16;12691->14"
"23-03-2022",S4AU4974,V902Z3WB,gi15,"SW-AMU139V0-30","26481->52;10047->21;14457->6"
"23-03-2022",S4PL3823,V305BK33,gi10,"SW-AMU139V0-10","13315->18;26251->1"
"23-03-2022",S4PL8854,V305DFLT,gi11,"SW-AMU139V0-13","0968->30"
"23-03-2022",S4PL3741,V305BHA4,"-","-","81249->15;13614->11;27627->9"
"23-03-2022",S4AU6671,V902Y4HX,gi9,"SW-AMU139V0-25","1293->48"
"23-03-2022",S4J96760,0,"-","-","23691->44"
"23-03-2022",S4PL3327,V305BHLB,gi20,"SW-AMU139V0-36","6425->44;12498->6;1350->6"
"23-03-2022",PC053VFH,"VL-ZVG74","PC Port","SEPB4A8B969C86C.asepeyo.site","80734->49;84001->8;84005->3"
"23-03-2022",S4AU7289,V902Z3AB,gi21,"SW-AMU139V0-32","14545->46;9306->34;15501->7"
"23-03-2022",S4AU6938,V902Z39Z,gi9,"SW-AMU139V0-7","7305->16;6395->14;15192->12"
"23-03-2022",S4AV0482,V902Z39M,gi8,"SW-AMU139V0-29","6074->49;26481->15;24369->8"
"23-03-2022",S4AV0220,V902Z3RV,"-","-","6891->31;15501->17;15667->2"
"23-03-2022",PC053VBN,"VL-ZGR67","-","-","25917->36;2349->35;26481->1"
"23-03-2022",S4PL4183,V305DFLL,gi2,"SW-AMU139V0-13","3445->32"
"23-03-2022",S4PL4065,V305BG01,"-","-","6162->48"
"23-03-2022",S4PL3270,V305BHLX,"-","-","14043->47;21979->8;6061->6"
"23-03-2022",S4AY2975,V902Z3ZZ,"PC Port","SEP009AD2F08AA2.asepeyo.site","22421->128;27083->48;10934->6"
"23-03-2022",S4PL0167,V305DFLX,gi12,"SW-AMU139V0-12","4142->21"
"23-03-2022",PC0A85QB,V9012R2A,"-","-","1254->16;15667->2;15192->2"
"23-03-2022",S4AV0146,V902Z3RK,"-","-","12777->60;27849->35;23375->25"
"23-03-2022",S4PL4056,V305BHA5,gi16,"SW-AMU139V0-28","25595->35;27763->5"
"23-03-2022",S4PL4597,V305DFM9,"PC Port","SEP2C0BE904935F.asepeyo.site","1340->55"
"23-03-2022",S4AY2882,V902Z3ZT,gi8,"SW-AMU139V0-32","9747->46"
"23-03-2022",S4AY2996,V902Z3RN,gi5,"SW-AMU139V0-5","11483->57"
"23-03-2022",S4PL4595,V305BK1Z,"-","-","23613->13;6257->5;6934->5"
"23-03-2022",PC053VFH,"VL-ZVG74","-","-","80734->49;84001->8;84005->2"
"23-03-2022",S4AU7145,V902Z3AA,"-","-","14694->13;7343->10;15667->8"
"23-03-2022",S4AY2906,V902Z3ZP,"-","-","23235->40"
"23-03-2022",S4PL3941,V305BKL9,"-","-","20623->56;23611->53;24687->42"
"23-03-2022",S4AY2918,V902Z3ZB,gi2,"SW-AMU139V0-6","6454->99"
"23-03-2022",S4AY2861,V902Z3ZV,gi2,"SW-AMU139V0-5","12072->50;12487->2;20951->1"
"23-03-2022",S4AY2856,V902Z400,gi12,"SW-AMU139V0-20","27083->75;23913->11;22421->5"
"23-03-2022",S4AY2903,V902Z3XB,gi9,"SW-AMU139V0-16","26113->48"
"23-03-2022",S4AY2882,V902Z3ZT,gi8,"SW-AMU139V0-32","9747->45"
"23-03-2022",S4PL3527,V305BH21,"-","-","9494->34;23375->9;12777->8"
"23-03-2022",S4PL8693,V305DFLR,gi10,"SW-AMU139V0-12","3127->21"
"23-03-2022",S4AY2987,V902Z2YB,gi13,"SW-AMU139V0-5","23715->52"
"23-03-2022",S4AU7258,0,gi12,"SW-AMU139V0-29","4003->56;6935->52;14457->4"
"23-03-2022",S4PL3873,V305BH8R,"-","-","13786->20;14681->19;7305->16"
"23-03-2022",S4AY2907,V902Z3M9,gi4,"SW-AMU139V0-5","1370->44;10934->8;1349->6"
"23-03-2022",S4AU5084,V902V25V,gi18,"SW-AMU139V0-25","9862->52;1251->18;4003->2"
"23-03-2022",S4AY2926,V902Z2M6,"-","-","1346->56;12853->31;23415->30"
"23-03-2022",S4AU7083,V902Z3NC,"-","-","26307->24;27413->20;1349->15"
"23-03-2022",S4AY2978,V902Z2XY,"-","-","1182->40;7083->2"
"23-03-2022",S4PL4073,V305BG2C,"-","-","15192->19;12907->15;7305->15"
"23-03-2022",S4AV0275,V902V2X1,"Device Port 2","(empty)","6877->57;23299->33;10199->29"
"23-03-2022",S4AU7298,V902Z3AP,"-","-","1309->42;9747->5"
"23-03-2022",S4AY3020,V902Z3V3,"-","-","1351->12;23613->8;6669->6"
"23-03-2022",S4PL3831,V305BK3M,"-","-","6097->50"
"23-03-2022",S4PL4530,V305DFMA,"-","-","3048->37"
"23-03-2022",PC053VKB,"VN-167518","-","-","27443->24;27019->11;27479->4"
"23-03-2022",S4PL3815,V305BH9Z,"PC Port","SEP247E12BF76DA.asepeyo.site","6129->47"
"23-03-2022",S4AU7298,V902Z3AP,gi12,"SW-AMU139V0-34","1309->41;9747->5"
"23-03-2022",PC053VFH,"VL-ZVG74","-","-","80734->49;84001->7;84005->2"
"23-03-2022",S4PL8700,V305DFMF,gi14,"SW-AMU139V0-13","3802->38"
"23-03-2022",S4AY2908,V902Z3N5,"-","-","27413->25;1370->21;12853->18"
"23-03-2022",S4PL8707,V305BFM0,"-","-","1288->54"
"23-03-2022",S4PL4060,V305BK2M,gi4,"SW-AMU139V0-9","5245->52"
"23-03-2022",S4PL0174,V305DFMB,gi16,"SW-AMU139V0-13","10023->18"
"23-03-2022",S4PL3827,V305BK3V,gi13,"SW-AMU139V0-23","3280->43;14621->1"
"23-03-2022",S4PL4527,V305BK34,gi17,"SW-AMU139V0-5","4212->55"
"23-03-2022",S4AU6938,V902Z39Z,gi9,"SW-AMU139V0-7","7305->15;6395->14;15192->12"
"23-03-2022",S4AY2907,V902Z3M9,gi4,"SW-AMU139V0-5","1370->44;10934->8;1349->6"
"23-03-2022",S4PL3807,V305BK29,gi9,"SW-AMU139V0-20","1336->47;9952->1;23235->1"
"23-03-2022",S4PL3938,V305BHAK,"-","-","1305->49;11875->38;7486->29"
"23-03-2022",S4PL8837,V305DFM6,"PC Port","SEP247E12BE6F25.asepeyo.site","11214->18;10243->16;12691->13"
"23-03-2022",S4AY2878,V902Z3ZM,gi15,"SW-AMU139V0-20","81866->43;81910->14;81867->11"
"23-03-2022",PC053VFB,"VL-ZVH18","PC Port","SEP247E12BF8BCC.asepeyo.site","84005->70;84001->2"
"23-03-2022",S4PL3938,V305BHAK,gi15,"SW-AMU139V0-15","1305->49;11875->38;7486->29"
"23-03-2022",S4PL3938,V305BHAK,gi15,"SW-AMU139V0-15","1305->49;11875->38;7486->29"
"23-03-2022",S4AV0105,V902Z3RB,"-","-","21211->37;6186->34;9986->28"
"23-03-2022",S4PL3938,V305BHAK,gi15,"SW-AMU139V0-15","1305->49;11875->38;7486->29"
"22-03-2022",S4PL3941,V305BKL9,"-","-","20623->55;23611->55;24687->42"
"22-03-2022",S4AV0105,V902Z3RB,gi17,"SW-AMU139V0-15","21211->37;6186->33;9986->28"
"22-03-2022",S4PL3938,V305BHAK,gi15,"SW-AMU139V0-15","1305->49;11875->38;7486->29"
"22-03-2022",S4PL8837,V305DFM6,"PC Port","SEP247E12BE6F25.asepeyo.site","11214->19;10243->16;12691->13"
"22-03-2022",S4PL3954,V305BK1Y,"PC Port","SEPB4A8B969C80B.asepeyo.site","10379->45;26335->28;14479->26"
"22-03-2022",S4AY2926,V902Z2M6,"-","-","1346->56;12853->31;23415->30"
"22-03-2022",S4PL3873,V305BH8R,"-","-","13786->20;14681->18;7305->16"
"22-03-2022",S4PL4595,V305BK1Z,"PC Port","SEP247E12BF8564.asepeyo.site","23613->13;6257->5;6934->5"
"22-03-2022",S4PL8751,V305BHAV,"-","-","23613->8;25679->6;26855->6"
"22-03-2022",S4PL3270,V305BHLX,"-","-","14043->46;21979->8;6061->6"
"22-03-2022",S4AY3020,V902Z3V3,"-","-","1351->12;23613->7;6669->6"
"22-03-2022",S4PL4698,V305BHVW,"-","-","25747->39"
"22-03-2022",S4AY2908,V902Z3N5,"PC Port","SEP247E12BF77A1.asepeyo.site","27413->25;1370->20;12853->18"
"22-03-2022",S4PL3270,V305BHLX,"-","-","14043->46;21979->7;6061->6"
"22-03-2022",S4AU7289,V902Z3AB,gi21,"SW-AMU139V0-32","14545->46;9306->33;15501->7"
"22-03-2022",PC053VBN,"VL-ZGR67","-","-","25917->36;2349->34;26481->1"
"22-03-2022",S4AV0482,V902Z39M,gi8,"SW-AMU139V0-29","6074->48;26481->15;24369->8"
"22-03-2022",S4AU7137,V902Z39F,gi12,"SW-AMU139V0-36","27443->6;25551->5;25747->5"
"22-03-2022",S4AU7289,V902Z3AB,gi21,"SW-AMU139V0-32","14545->45;9306->33;15501->7"
"22-03-2022",S4PL8837,V305DFM6,"PC Port","SEP247E12BE6F25.asepeyo.site","11214->19;10243->15;12691->13"
"22-03-2022",S4PL4545,V305BK22,gi9,"SW-AMU139V0-17","3115->49"
"22-03-2022",S4AV0105,V902Z3RB,gi17,"SW-AMU139V0-15","21211->37;6186->32;9986->29"
"22-03-2022",S4PL4597,V305DFM9,"-","-","1340->53"
"22-03-2022",S4PL8837,V305DFM6,"-","-","11214->19;10243->15;12691->13"
"22-03-2022",PC053VFH,"VL-ZVG74","-","-","80734->49;84001->7;84005->1"
"22-03-2022",S4AU6938,V902Z39Z,gi9,"SW-AMU139V0-7","7305->15;6395->14;15192->12"
"22-03-2022",S4PL3941,V305BKL9,"PC Port","SEP247E12BFD070.asepeyo.site","23611->56;20623->55;24687->42"
"22-03-2022",PC053VEM,52549101,"-","-","26589->46;24227->28;80790->10"
"22-03-2022",S4AU7283,V902Z3A8,gi7,"SW-AMU139V0-36","11091->5;9938->5;13614->3"
"22-03-2022",S4AY2908,V902Z3N5,"PC Port","SEP247E12BF77A1.asepeyo.site","27413->25;1370->20;12853->18"
"22-03-2022",S4AU9072,V902V2PG,gi19,"SW-AMU139V0-27","26809->22;3860->15;9755->12"
"22-03-2022",S4AY3020,V902Z3V3,"PC Port","SEP247E12BF84C4.asepeyo.site","1351->12;23613->7;6669->6"
"22-03-2022",S4AY2961,V902Z2NA,gi1,"SW-AMU139V0-24","9937->37;22389->22;6188->11"
"22-03-2022",S4PL3954,V305BK1Y,"PC Port","SEPB4A8B969C80B.asepeyo.site","10379->45;26335->28;14479->25"
"22-03-2022",S4AY2986,V902Z2XV,"-","-","4070->31;12691->26;1277->22"
"22-03-2022",S4PL3951,V305BHAH,gi9,"SW-AMU139V0-26","1288->17;27257->9;1369->8"
"22-03-2022",S4AU4974,V902Z3WB,gi15,"SW-AMU139V0-30","26481->52;10047->21;10199->6"
"22-03-2022",S4AY2975,V902Z3ZZ,"PC Port","SEP009AD2F08AA2.asepeyo.site","22421->127;27083->48;10934->6"
"22-03-2022",S4PL4073,V305BG2C,gi12,"SW-AMU139V0-7","15192->19;7305->15;12907->14"
"22-03-2022",S4PL4534,V305BFMC,"-","-","27443->24;24673->4;27019->3"
"22-03-2022",S4AY2926,V902Z2M6,"PC Port","SEPB4A8B969C8DC.asepeyo.site","1346->57;12853->31;23415->29"
"22-03-2022",S4AU7083,V902Z3NC,"-","-","26307->24;27413->20;1349->15"
"22-03-2022",S4AV0105,V902Z3RB,gi17,"SW-AMU139V0-15","21211->36;6186->32;9986->29"
"22-03-2022",S4AY2907,V902Z3M9,gi4,"SW-AMU139V0-5","1370->43;10934->8;1349->6"
"22-03-2022",S4PL3873,V305BH8R,"-","-","13786->20;14681->18;7305->16"
"22-03-2022",S4PL3327,V305BHLB,"-","-","6425->43;12498->6;1350->6"
"22-03-2022",S4AU7145,V902Z3AA,"-","-","14694->13;7343->10;15667->8"
"22-03-2022",S4AV0146,V902Z3RK,gi19,"SW-AMU139V0-39","12777->62;27849->35;23375->25"
"22-03-2022",S4PL4716,V305BH9F,gi5,"SW-AMU139V0-28","22473->10;25747->9;23603->7"
"22-03-2022",S4AU7258,0,gi12,"SW-AMU139V0-29","4003->58;6935->51;14457->4"
"22-03-2022",S4PL8689,V305BFCV,"-","-","7083->51"
"22-03-2022",S4AV0275,V902V2X1,"-","-","6877->58;23299->32;10199->29"
"22-03-2022",S4PL4554,V305BK1V,"-","-","1359->55;12660->2;20951->1"
"22-03-2022",PC053V7Z,60227032,gi12,"SW-AMU139V0-8","24227->14;26589->12"
"22-03-2022",S4PL3896,V305BGHX,gi2,"SW-AMU139V0-32","27479->10;27333->1"
"22-03-2022",S4AU7145,V902Z3AA,"-","-","14694->13;7343->10;15667->8"
"22-03-2022",S4PL4554,V305BK1V,"-","-","1359->54;12660->2;20951->1"
"22-03-2022",S4PL4597,V305DFM9,"PC Port","SEP2C0BE904935F.asepeyo.site","1340->52"
"22-03-2022",S4AV0275,V902V2X1,"-","-","6877->58;23299->32;10199->29"
"22-03-2022",S4PL4559,V305BH9G,gi8,"SW-AMU139V0-25","26271->34;27763->11"
"22-03-2022",S4AV0275,V902V2X1,"Device Port 2","(empty)","6877->58;23299->32;10199->28"
"22-03-2022",S4AV0275,V902V2X1,"-","-","6877->58;23299->32;10199->28"
"22-03-2022",S4PL8700,V305DFMF,"-","-","3802->37"
"22-03-2022",S4AY2961,V902Z2NA,gi1,"SW-AMU139V0-24","9937->37;22389->21;6188->11"
"22-03-2022",S4AY2961,V902Z2NA,gi1,"SW-AMU139V0-24","9937->36;22389->21;6188->11"
"22-03-2022",S4AY2907,V902Z3M9,"-","-","1370->43;10934->8;1349->6"
"22-03-2022",S4PL3953,V305BH8Y,gi2,"SW-AMU139V0-28","3280->15;1366->9;81901->9"
"22-03-2022",S4PL3951,V305BHAH,gi9,"SW-AMU139V0-26","1288->17;27257->9;1369->7"
"22-03-2022",S4AU6671,V902Y4HX,gi9,"SW-AMU139V0-25","1293->47"
"22-03-2022",S4AU5084,V902V25V,gi18,"SW-AMU139V0-25","9862->53;1251->17;4003->2"
"22-03-2022",S4PL4526,V305BHW9,gi7,"SW-AMU139V0-26","14621->14;81241->14;1209->8"
"22-03-2022",S4PL4531,V305BFM8,"-","-","6616->40;27257->2"
"22-03-2022",S4AV0275,V902V2X1,"-","-","6877->58;23299->32;10199->28"
"22-03-2022",S4AY2856,V902Z400,gi12,"SW-AMU139V0-20","27083->74;23913->11;22421->5"
"22-03-2022",S4PL8663,V304Y180,"-","-","1220->35;10287->17;9124->13"
"22-03-2022",S4PL4595,V305BK1Z,"-","-","23613->13;6257->5;25679->4"
"22-03-2022",S4AY2975,V902Z3ZZ,"PC Port","SEP009AD2F08AA2.asepeyo.site","22421->126;27083->48;10934->6"
"22-03-2022",S4AY2986,V902Z2XV,gi13,"SW-AMU139V0-24","4070->31;12691->26;1277->23"
"22-03-2022",S4PL4716,V305BH9F,gi5,"SW-AMU139V0-28","22473->9;25747->9;23603->7"
"22-03-2022",S4PL4595,V305BK1Z,"-","-","23613->13;6257->5;25679->4"
"22-03-2022",S4AY2986,V902Z2XV,gi13,"SW-AMU139V0-24","4070->31;12691->26;1277->22"
"22-03-2022",S4AY2880,V902Z2Y5,"-","-","0838->30;23913->26;23235->1"
"22-03-2022",S4PL8663,V304Y180,"-","-","1220->34;10287->17;9124->13"
