FECHAHORA,HARDWARE_NAME,LLDP_RID1_SWITCH_PORTDESCR,LLDP_RID1_SWITCH_SYSNAME,p4k_FREQUENT_USERS
20-01-2022,S4PL8693,gi10,SW-AMU139V0-12,3127->14
20-01-2022,PC053VKB,-,-,27443->25;26239->8;24673->7
20-01-2022,S4PL4550,gi7,SW-AMU139V0-32,3192->13
20-01-2022,S4AY2918,gi2,SW-AMU139V0-6,6454->83
20-01-2022,S4PL4753,PC Port,SEP247E12BF8722.asepeyo.site,1254->27;25433->3;21979->2
20-01-2022,S4PL3741,-,-,80209->11;81249->10;13614->8
20-01-2022,S4PL4073,-,-,6395->16;12907->10;15192->10
20-01-2022,S4AU5084,gi18,SW-AMU139V0-25,9862->37;1251->22
20-01-2022,S4PL4705,gi5,SW-AMU139V0-31,22473->15
20-01-2022,S4PL9049,-,-,6341->39
20-01-2022,S4AU7289,gi21,SW-AMU139V0-32,14545->36;24827->19;23331->12
20-01-2022,S4AV0146,-,-,12777->30;27729->30;15192->12
20-01-2022,S4AY2903,gi9,SW-AMU139V0-16,26113->36
20-01-2022,S4PL8700,gi14,SW-AMU139V0-13,3802->23
20-01-2022,S4AY2882,gi8,SW-AMU139V0-32,9747->34;23331->1
20-01-2022,S4PL3831,PC Port,SEPF87B204FBB03.asepeyo.site,6097->38
20-01-2022,S4AU6938,gi9,SW-AMU139V0-7,7305->24;23415->12;15192->11
20-01-2022,S4PL3873,-,-,23415->28;27397->23;12907->21
20-01-2022,S4AY2978,-,-,1182->45
20-01-2022,S4AU7149,gi11,SW-AMU139V0-20,1336->43
20-01-2022,S4PL4543,PC Port,SEP247E12BE6E0F.asepeyo.site,1155->19;81755->5;81683->3
20-01-2022,S4PL0174,gi16,SW-AMU139V0-13,10023->17
20-01-2022,S4AU7298,gi12,SW-AMU139V0-34,9747->29;1309->29
20-01-2022,S4AU7149,-,-,1336->42
20-01-2022,S4PL4527,gi17,SW-AMU139V0-5,4212->29
20-01-2022,S4AU6938,gi9,SW-AMU139V0-7,7305->24;23415->12;15192->11
20-01-2022,S4AY2880,gi17,SW-AMU139V0-20,0838->32
20-01-2022,S4AY2878,gi15,SW-AMU139V0-20,81866->30;81867->20;81910->14
20-01-2022,S4AY2907,gi4,SW-AMU139V0-5,1370->31;12487->2;27413->1
20-01-2022,S4AY2961,gi1,SW-AMU139V0-24,9937->24;22389->5;22339->4
20-01-2022,S4AY2926,-,-,1346->37;23447->34;1349->28
20-01-2022,S4PL3938,gi15,SW-AMU139V0-15,11875->31;1305->25;11971->20
20-01-2022,S4AU7521,gi6,SW-AMU139V0-46,9755->28;26809->9;26239->7
20-01-2022,S4AU7521,gi6,SW-AMU139V0-46,9755->27;26809->9;26239->7
20-01-2022,S4PL3954,-,-,10379->23;6200->12;23897->6
20-01-2022,S4AY2961,gi1,SW-AMU139V0-24,9937->24;22389->5;23897->4
19-01-2022,S4AU7236,gi12,SW-AMU139V0-30,27061->35;12777->10;9494->9
19-01-2022,S4AV0105,gi17,SW-AMU139V0-15,9986->29;6186->25;21211->21
19-01-2022,S4PL3938,gi15,SW-AMU139V0-15,11875->31;1305->25;11971->19
19-01-2022,S4PL3873,-,-,23415->28;27397->23;12907->21
19-01-2022,S4PL3873,PC Port,SEP247E12BF89FF.asepeyo.site,23415->27;27397->23;12907->21
19-01-2022,S4AY2926,-,-,1346->37;23447->34;1349->28
19-01-2022,S4PL3327,-,-,20849->21;6425->17;6669->8
19-01-2022,S4PL8663,-,-,1220->29;10287->21;23311->10
19-01-2022,S4PL4595,PC Port,SEP247E12BF8564.asepeyo.site,6669->7;6673->6;14350->5
19-01-2022,S4AV0482,-,-,2349->28;6074->17;24369->14
19-01-2022,S4AV0482,gi8,SW-AMU139V0-29,2349->28;6074->17;24369->13
19-01-2022,S4PL3954,PC Port,SEPB4A8B969C80B.asepeyo.site,10379->23;6200->12;23897->6
19-01-2022,S4PL8703,-,-,4222->30;26481->5
19-01-2022,S4AY2961,gi1,SW-AMU139V0-24,9937->24;22389->5;23897->4
19-01-2022,S4PL3941,-,-,23611->53;20623->41;25793->31
19-01-2022,S4PL4067,-,-,14621->14;27443->10;24673->9
19-01-2022,S4PL4067,gi5,SW-AMU139V0-25,14621->14;24673->9;25419->9
19-01-2022,S4AU6938,gi9,SW-AMU139V0-7,7305->24;15192->11;23415->11
19-01-2022,S4AY2986,-,-,1277->30;4070->25;27705->18
19-01-2022,S4PL5076,PC Port,SEP247E12BE6F16.asepeyo.site,1230->14;24273->10;23613->3
19-01-2022,S4PL3938,gi15,SW-AMU139V0-15,11875->31;1305->25;11971->18
19-01-2022,S4AV0105,gi17,SW-AMU139V0-15,9986->29;6186->24;21211->21
19-01-2022,S4AU7096,gi16,SW-AMU139V0-31,81091->26;81071->20;80400->7
19-01-2022,S4AY2975,-,-,22421->102;27083->41;81828->8
19-01-2022,S4AY2856,gi12,SW-AMU139V0-20,27083->66;22421->13;23913->6
19-01-2022,S4PL3873,PC Port,SEP247E12BF89FF.asepeyo.site,23415->26;27397->24;12907->21
19-01-2022,S4AV0146,gi19,SW-AMU139V0-39,12777->30;27729->29;15192->12
19-01-2022,S4AY2908,-,-,10934->22;23913->18;1370->16
19-01-2022,S4AY2926,-,-,1346->37;23447->34;1349->28
19-01-2022,S4AU7083,PC Port,SEP247E12BF778A.asepeyo.site,1370->19;27413->17;10934->12
19-01-2022,S4PL4073,-,-,6395->15;12907->10;15192->10
19-01-2022,S4AU7289,-,-,14545->35;24827->19;23331->12
19-01-2022,S4PL3873,-,-,23415->26;27397->24;12907->21
19-01-2022,S4PL4072,gi3,SW-AMU139V0-31,13614->4
19-01-2022,S4PL3738,gi8,SW-AMU139V0-33,23603->5
19-01-2022,S4PL3167,gi16,SW-AMU010V1-18,12794->8;2254->2;22623->1
19-01-2022,S4AU7258,gi12,SW-AMU139V0-29,4003->34;6935->31;25917->8
19-01-2022,S4PL4531,-,-,6616->25;27257->2
19-01-2022,S4PL3327,gi19,SW-AMU139V0-36,20849->21;6425->17;6669->8
19-01-2022,S4PL3941,-,-,23611->52;20623->41;25793->31
19-01-2022,S4AV0275,-,-,6877->42;23299->27;25917->17
19-01-2022,S4PL4554,gi2,SWITCH-INFORMATICA,1359->36
19-01-2022,S4PL3741,gi2,SW-AMU139V0-30,80209->11;81249->10;13614->8
19-01-2022,PC0A85PL,gi8,SW-AMU139V0-23,1322->42
19-01-2022,S4AV0275,-,-,6877->41;23299->27;25917->17
19-01-2022,PC0A85PL,gi8,SW-AMU139V0-23,1322->41
19-01-2022,S4PL4534,gi17,SW-AMU139V0-32,27443->22;26239->7;24673->5
19-01-2022,S4AU5155,-,-,9862->12;24369->6;14457->3
19-01-2022,S4PL8837,-,-,11214->18;7368->16;6200->12
19-01-2022,S4PL3954,PC Port,SEPB4A8B969C80B.asepeyo.site,10379->23;6200->12;23897->6
19-01-2022,S4PL3327,gi19,SW-AMU139V0-36,20849->21;6425->16;6669->8
19-01-2022,S4PL4482,gi6,SW-AMU139V0-15,20623->9;1369->3;27257->2
19-01-2022,S4PL4774,gi13,SW-AMU139V0-3,1366->35
19-01-2022,PC053V62,-,-,84105->2;4142->1;3445->1
19-01-2022,PC053V62,-,-,84105->2;4142->1;3445->1
19-01-2022,S4PL4686,-,-,26271->27;27763->13
19-01-2022,S4AY2975,PC Port,SEP009AD2F08AA2.asepeyo.site,22421->101;27083->41;81828->8
19-01-2022,S4AV0275,-,-,6877->41;23299->27;25917->17
19-01-2022,S4PL4526,-,-,11091->11;4324->9;14621->7
19-01-2022,S4PL3954,PC Port,SEPB4A8B969C80B.asepeyo.site,10379->22;6200->12;23897->6
19-01-2022,S4PL4561,gi21,SW-AMU139V0-31,26937->11;27333->5;23287->3
19-01-2022,S4AU7137,gi12,SW-AMU139V0-36,81249->6;26239->5;81241->5
19-01-2022,S4PL4705,gi5,SW-AMU139V0-31,22473->14
19-01-2022,S4PL3953,-,-,3280->10;1366->7;27479->6
19-01-2022,S4PL3818,gi5,SW-AMU139V0-26,27333->9;23877->5;80289->5
19-01-2022,S4PL4716,gi5,SW-AMU139V0-28,25747->8;22473->6;23603->4
19-01-2022,S4AY2975,PC Port,SEP009AD2F08AA2.asepeyo.site,22421->100;27083->41;81828->8
19-01-2022,S4AU5084,gi18,SW-AMU139V0-25,9862->37;1251->21
19-01-2022,S4AY2986,gi13,SW-AMU139V0-24,1277->30;4070->25;27705->18
19-01-2022,S4AU6938,gi9,SW-AMU139V0-7,7305->24;15192->11;23415->11
19-01-2022,S4PL3110,-,-,9938->4;26937->3;3282->3
19-01-2022,S4AY2980,gi21,SW-AMU139V0-30,6074->14
19-01-2022,S4PL8689,gi13,SW-AMU139V0-35,7083->24
19-01-2022,S4PL4550,gi7,SW-AMU139V0-32,3192->12
19-01-2022,S4PL4698,gi13,SW-AMU139V0-32,25747->32
19-01-2022,S4PL3110,PC Port,SEPF87B204FFA2D.asepeyo.site,9938->4;26937->3;3282->3
19-01-2022,S4PL8689,-,-,7083->23
19-01-2022,S4AU9072,gi19,SW-AMU139V0-27,3860->7;26937->4;6188->3
19-01-2022,S4AU7283,gi7,SW-AMU139V0-36,23877->3;24273->3;1366->2
19-01-2022,S4PL3873,-,-,23415->26;27397->24;12907->21
19-01-2022,S4PL8837,PC Port,SEP247E12BE6F25.asepeyo.site,11214->18;7368->16;6200->12
19-01-2022,S4PL3933,gi11,SW-AMU139V0-27,1275->23;1254->5;1351->2
19-01-2022,S4PL4917,gi2,SW-AMU139V0-31,26303->10;23613->9;25679->5
19-01-2022,S4PL4543,PC Port,SEP247E12BE6E0F.asepeyo.site,1155->18;81755->5;81683->3
19-01-2022,S4AV0275,-,-,6877->41;23299->27;25917->18
19-01-2022,S4PL4545,gi9,SW-AMU139V0-17,3115->35
19-01-2022,S4PL3822,-,-,7452->36
19-01-2022,S4PL3814,PC Port,SEP247E12BFD03C.asepeyo.site,21459->33
19-01-2022,S4PL8689,-,-,7083->22
19-01-2022,S4AU7842,-,-,20069->43
19-01-2022,S4PL3938,gi15,SW-AMU139V0-15,11875->31;1305->25;11971->18
19-01-2022,S4PL4559,gi8,SW-AMU139V0-25,26271->20;81904->4;27763->2
19-01-2022,S4AV0092,gi17,SW-AMU139V0-25,15548->20;1370->7
19-01-2022,S4AY2961,gi1,SW-AMU139V0-24,9937->24;22389->5;24027->4
19-01-2022,S4PL4452,gi14,SW-AMU139V0-31,12376->8;24273->7;21979->7
19-01-2022,S4AU4974,gi15,SW-AMU139V0-30,26481->42;25917->9;14457->8
19-01-2022,S4PL4221,gi14,SW-AMU139V0-32,14621->20
19-01-2022,S4PL3819,gi16,SW-AMU139V0-29,3159->16;26271->1
19-01-2022,S4PL8663,-,-,1220->29;10287->21;23311->9
19-01-2022,S4AU7293,Device Port 4,(empty),6061->27;10287->5;1220->3
19-01-2022,S4PL3746,gi9,SW-AMU139V0-34,27095->39
19-01-2022,PC053VKB,-,-,27443->25;24673->7;26239->7
19-01-2022,S4PL4597,-,-,1340->40
19-01-2022,S4M80643,gi13,SW-AMU139V0-17,5095->32;1358->2
19-01-2022,S4AV0105,-,-,9986->28;6186->24;21211->21
19-01-2022,S4PL3950,gi9,SW-AMU139V0-9,11631->14
19-01-2022,S4PL5076,-,-,1230->14;24273->9;23613->3
19-01-2022,S4PL4073,gi12,SW-AMU139V0-7,6395->15;12907->10;15192->10
19-01-2022,S4AU6626,PC Port,SEP2C0BE904B2E3.asepeyo.site,23701->37;23571->5;3261->2
19-01-2022,PC053VEM,Device Port 2,(empty),26589->30;24227->30;80790->16
19-01-2022,S4PL3270,-,-,12391->28;6061->15;14043->14
19-01-2022,S4PL4190,-,-,27257->34
19-01-2022,S4PL4059,-,-,1358->31
19-01-2022,S4PL8703,PC Port,SEP247E12BF7662.asepeyo.site,4222->29;26481->5
19-01-2022,S4PL3941,PC Port,SEP247E12BFD070.asepeyo.site,23611->52;20623->41;25793->31
19-01-2022,S4PL3167,gi16,SW-AMU010V1-18,12794->7;2254->2
19-01-2022,S4AV0220,-,-,6891->29;9124->13;25441->2
19-01-2022,PC053VFH,PC Port,SEPB4A8B969C86C.asepeyo.site,80734->45;84001->14;84005->1
19-01-2022,S4AY2856,gi12,SW-AMU139V0-20,27083->65;22421->13;23913->6
19-01-2022,S4PL3873,-,-,23415->26;27397->24;12907->21
19-01-2022,PC053VBN,-,-,2349->5;6074->4;25917->4
19-01-2022,S4AY2918,gi2,SW-AMU139V0-6,6454->82
19-01-2022,S4PL8751,-,-,23613->6;25679->5;1350->4
19-01-2022,S4PL4595,PC Port,SEP247E12BF8564.asepeyo.site,6669->7;6673->6;14350->5
19-01-2022,S4AY2968,gi5,SW-AMU139V0-13,27315->36
19-01-2022,S4AY2987,gi13,SW-AMU139V0-5,23715->44
19-01-2022,S4AV0275,-,-,6877->41;23299->27;25917->18
19-01-2022,S4PL4183,gi2,SW-AMU139V0-13,3445->15
19-01-2022,S4AY2975,-,-,22421->100;27083->40;81828->8
19-01-2022,S4AU7236,-,-,27061->35;12777->10;9494->9
19-01-2022,S4AY3020,-,-,23613->8;6257->7;3188->6
19-01-2022,S4AU6938,gi9,SW-AMU139V0-7,7305->24;15192->11;23415->11
19-01-2022,S4AV0482,gi8,SW-AMU139V0-29,2349->28;6074->17;24369->12
19-01-2022,S4AY2996,gi5,SW-AMU139V0-5,11483->28;1343->3;6088->1
19-01-2022,S4AU7083,PC Port,SEP247E12BF778A.asepeyo.site,1370->19;27413->17;10934->12
19-01-2022,S4PL4547,-,-,4923->14
19-01-2022,S4PL4065,-,-,6162->33;7083->5;6129->1
19-01-2022,S4PL4753,-,-,1254->26;25433->3;21979->2
19-01-2022,S4AU7145,-,-,15131->16;20849->7;6934->7
19-01-2022,PC0A85PL,gi8,SW-AMU139V0-23,1322->40
19-01-2022,S4PL4540,-,-,1363->18
19-01-2022,S4AY2918,gi2,SW-AMU139V0-6,6454->81
19-01-2022,S4PL3327,gi19,SW-AMU139V0-36,20849->21;6425->16;6669->8
19-01-2022,PC053VKB,-,-,27443->25;24673->7;26239->7
19-01-2022,S4AY2861,gi2,SW-AMU139V0-5,12072->45;9952->1
19-01-2022,S4AU7289,gi21,SW-AMU139V0-32,14545->35;24827->19;23331->11
19-01-2022,S4AV0146,gi19,SW-AMU139V0-39,12777->30;27729->29;15192->12
19-01-2022,S4PL4530,-,-,3048->25
19-01-2022,S4PL4530,-,-,3048->25
19-01-2022,S4AU7258,gi12,SW-AMU139V0-29,4003->33;6935->31;25917->8
19-01-2022,S4AY2926,-,-,1346->37;23447->34;1349->28
19-01-2022,S4AY2903,gi9,SW-AMU139V0-16,26113->35
19-01-2022,S4AY2978,PC Port,SEPB4A8B969C9D7.asepeyo.site,1182->44
19-01-2022,S4PL3831,PC Port,SEPF87B204FBB03.asepeyo.site,6097->38
19-01-2022,S4AU7298,gi12,SW-AMU139V0-34,9747->29;1309->28
19-01-2022,S4PL4056,gi16,SW-AMU139V0-28,25595->38
19-01-2022,S4AY2882,-,-,9747->33;23331->1
19-01-2022,S4PL3942,-,-,1330->34
19-01-2022,S4AY2908,PC Port,SEP247E12BF77A1.asepeyo.site,10934->22;23913->18;1370->16
19-01-2022,S4PL8700,-,-,3802->22
19-01-2022,S4AU7205,PC Port,SEP247E12BF848A.asepeyo.site,81073->37;80492->19
19-01-2022,S4PL3815,-,-,6129->43
19-01-2022,S4PL9049,-,-,6341->38
19-01-2022,S4PL8707,gi1,SW-AMU139V0-32,1288->35
19-01-2022,S4PL4527,gi17,SW-AMU139V0-5,4212->28
19-01-2022,S4PL4067,gi5,SW-AMU139V0-25,14621->14;24673->9;25419->9
19-01-2022,S4AY2880,gi17,SW-AMU139V0-20,0838->31
19-01-2022,S4AU7149,-,-,1336->41
19-01-2022,S4AY2907,gi4,SW-AMU139V0-5,1370->30;12487->2;27413->1
19-01-2022,S4AY2878,-,-,81866->29;81867->21;81910->14
19-01-2022,S4AY2961,gi1,SW-AMU139V0-24,9937->23;22389->5;24027->4
19-01-2022,S4PL3954,PC Port,SEPB4A8B969C80B.asepeyo.site,10379->21;6200->12;23897->6
19-01-2022,S4AV0146,-,-,12777->30;27729->28;15192->12
19-01-2022,PC053VFB,-,-,84005->57
19-01-2022,PC053VFB,-,-,84005->56
18-01-2022,S4PL4067,gi5,SW-AMU139V0-25,14621->13;24673->9;25419->9
18-01-2022,S4PL3941,-,-,23611->52;20623->41;25793->30
18-01-2022,S4PL3938,gi15,SW-AMU139V0-15,11875->31;1305->24;11971->18
18-01-2022,S4AV0105,gi17,SW-AMU139V0-15,9986->28;6186->24;21211->21
18-01-2022,S4AV0146,gi19,SW-AMU139V0-39,12777->29;27729->28;15192->12
18-01-2022,S4AY2986,gi13,SW-AMU139V0-24,1277->29;4070->25;27705->18
18-01-2022,S4PL8837,-,-,11214->18;7368->17;6200->12
18-01-2022,S4PL3954,-,-,10379->21;6200->11;24027->7
18-01-2022,S4AY2926,PC Port,SEPB4A8B969C8DC.asepeyo.site,1346->37;23447->34;1349->27
18-01-2022,S4AV0105,gi17,SW-AMU139V0-15,9986->28;6186->24;21211->21
18-01-2022,S4PL8751,-,-,23613->6;25679->5;1350->4
18-01-2022,S4AV0482,gi8,SW-AMU139V0-29,2349->27;6074->17;24369->12
18-01-2022,S4PL4698,gi13,SW-AMU139V0-32,25747->31
18-01-2022,S4AU7293,-,-,6061->27;10287->4;1220->3
18-01-2022,S4PL8663,Device Port 3,(empty),1220->28;10287->21;23311->9
18-01-2022,S4AU7096,gi16,SW-AMU139V0-31,81091->25;81071->20;80400->7
18-01-2022,S4AY3020,-,-,23613->8;3188->6;6257->6
18-01-2022,S4PL4059,gi13,SW-AMU139V0-6,1358->30
18-01-2022,S4PL4059,gi13,SW-AMU139V0-6,1358->29
18-01-2022,S4AY2965,PC Port,SEP247E12BE6F56.asepeyo.site,23415->8;20781->3;14479->3
18-01-2022,S4AV0482,gi8,SW-AMU139V0-29,2349->27;6074->17;24369->12
18-01-2022,S4PL3941,PC Port,SEP247E12BFD070.asepeyo.site,23611->55;20623->41;25793->29
18-01-2022,S4PL4595,-,-,6669->7;6673->6;14350->5
18-01-2022,S4AY2986,gi13,SW-AMU139V0-24,1277->29;4070->24;27705->18
18-01-2022,S4PL3896,gi2,SW-AMU139V0-32,27479->12;22473->1
18-01-2022,PC053VEM,-,-,26589->30;24227->29;80790->16
18-01-2022,S4AV0146,gi19,SW-AMU139V0-39,12777->28;27729->28;15192->12
18-01-2022,PC053VBN,-,-,2349->5;25917->4;6074->3
18-01-2022,S4PL3741,gi2,SW-AMU139V0-30,80209->11;81249->9;13614->8
18-01-2022,S4PL3938,gi15,SW-AMU139V0-15,11875->31;1305->24;11971->18
18-01-2022,S4AU6938,gi9,SW-AMU139V0-7,7305->23;15192->11;23415->11
18-01-2022,S4AV0105,-,-,9986->27;6186->24;21211->21
18-01-2022,S4PL3951,gi9,SW-AMU139V0-26,1288->7;1340->6;3167->6
18-01-2022,S4AY2975,PC Port,SEP009AD2F08AA2.asepeyo.site,22421->99;27083->40;81828->8
18-01-2022,S4AY2961,-,-,9937->23;22389->5;12028->4
18-01-2022,S4PL3818,gi5,SW-AMU139V0-26,27333->9;80289->8;23877->4
18-01-2022,S4PL4698,-,-,25747->30
18-01-2022,S4AY2908,PC Port,SEP247E12BF77A1.asepeyo.site,10934->22;23913->18;1370->15
18-01-2022,S4AY2926,PC Port,SEPB4A8B969C8DC.asepeyo.site,1346->36;23447->34;1349->27
18-01-2022,S4PL3873,-,-,23415->27;27397->24;12907->21
18-01-2022,S4AU7083,-,-,1370->19;27413->17;10934->11
18-01-2022,S4PL4073,gi12,SW-AMU139V0-7,6395->14;12907->10;15192->10
18-01-2022,S4PL3954,PC Port,SEPB4A8B969C80B.asepeyo.site,10379->21;6200->10;24027->7
18-01-2022,S4PL3327,-,-,20849->22;6425->15;6669->8
18-01-2022,S4AU7145,PC Port,SEP247E12BF5D85.asepeyo.site,15131->16;20849->7;6934->7
18-01-2022,S4AU7289,gi21,SW-AMU139V0-32,14545->34;24827->19;23331->12
18-01-2022,S4AV0275,-,-,6877->41;23299->26;25917->18
18-01-2022,S4PL8689,gi13,SW-AMU139V0-35,7083->21
18-01-2022,S4AU7258,-,-,4003->35;6935->30;25917->8
18-01-2022,S4AV0275,Device Port 2,(empty),6877->42;23299->26;25917->18
18-01-2022,S4AU7258,gi12,SW-AMU139V0-29,4003->35;6935->30;25917->8
18-01-2022,S4PL4065,PC Port,SEP247E12BF7746.asepeyo.site,6162->32;7083->5;6129->1
18-01-2022,S4PL4067,-,-,14621->12;24673->9;25419->9
18-01-2022,S4PL4554,gi2,SWITCH-INFORMATICA,1359->36
18-01-2022,S4PL4183,gi2,SW-AMU139V0-13,3445->14
18-01-2022,S4AU7096,gi16,SW-AMU139V0-31,81091->25;81071->19;80400->7
18-01-2022,S4PL4759,gi17,SW-AMU139V0-12,15611->24
18-01-2022,S4AY2918,gi2,SW-AMU139V0-6,6454->80
18-01-2022,S4PL3738,gi8,SW-AMU139V0-33,23603->4
18-01-2022,S4AV0275,-,-,6877->42;23299->26;25917->18
18-01-2022,S4PL3950,gi9,SW-AMU139V0-9,11631->13
18-01-2022,S4PL4759,gi17,SW-AMU139V0-12,15611->23
18-01-2022,S4AV0275,-,-,6877->42;23299->26;25917->18
18-01-2022,S4PL3951,-,-,1288->7;1340->6;3167->6
18-01-2022,S4PL3327,gi19,SW-AMU139V0-36,20849->22;6425->15;6669->8
18-01-2022,S4AY2856,gi12,SW-AMU139V0-20,27083->66;22421->13;23913->5
18-01-2022,S4AY2987,gi13,SW-AMU139V0-5,23715->43
18-01-2022,S4AY2861,gi2,SW-AMU139V0-5,12072->44;9952->1
18-01-2022,S4PL3950,gi9,SW-AMU139V0-9,11631->12
18-01-2022,S4AY2918,gi2,SW-AMU139V0-6,6454->79
18-01-2022,S4PL8700,-,-,3802->21
18-01-2022,S4AY2975,PC Port,SEP009AD2F08AA2.asepeyo.site,22421->98;27083->40;81828->9
18-01-2022,S4AY2986,gi13,SW-AMU139V0-24,1277->29;4070->24;27705->18
18-01-2022,S4PL4597,PC Port,SEP2C0BE904935F.asepeyo.site,1340->39
18-01-2022,PC053VDS,gi7,SW-AMU139V0-5,3115->4;27095->1;22473->1
18-01-2022,S4AU7149,gi11,SW-AMU139V0-20,1336->40
18-01-2022,S4PL3953,gi2,SW-AMU139V0-28,3280->10;1366->7;81901->6
18-01-2022,PC053VDS,gi7,SW-AMU139V0-5,3115->3;27095->1;22473->1
18-01-2022,S4AY2975,PC Port,SEP009AD2F08AA2.asepeyo.site,22421->97;27083->40;81828->9
18-01-2022,S4PL3896,gi2,SW-AMU139V0-32,27479->12
18-01-2022,S4AY2975,PC Port,SEP009AD2F08AA2.asepeyo.site,22421->96;27083->40;81828->9
18-01-2022,S4AU6626,PC Port,SEP2C0BE904B2E3.asepeyo.site,23701->36;23571->5;3261->2
18-01-2022,S4PL4526,gi7,SW-AMU139V0-26,11091->10;4324->9;14621->7
18-01-2022,S4PL3746,gi9,SW-AMU139V0-34,27095->38
18-01-2022,S4AY2975,PC Port,SEP009AD2F08AA2.asepeyo.site,22421->97;27083->39;81828->9
18-01-2022,S4PL4561,-,-,26937->11;27333->4;23287->3
18-01-2022,S4PL4716,gi5,SW-AMU139V0-28,25747->7;22473->6;23603->4
18-01-2022,S4PL3741,-,-,80209->10;81249->9;13614->8
18-01-2022,S4PL3950,gi9,SW-AMU139V0-9,11631->11
18-01-2022,S4PL4067,-,-,14621->11;24673->9;25419->9
18-01-2022,S4PL4553,-,-,80434->9
18-01-2022,S4AY2980,gi21,SW-AMU139V0-30,6074->13
18-01-2022,S4PL3938,gi15,SW-AMU139V0-15,11875->31;1305->24;11971->18
18-01-2022,S4AV0275,-,-,6877->42;23299->26;25917->18
18-01-2022,S4PL4559,gi8,SW-AMU139V0-25,26271->19;81904->4;27763->2
18-01-2022,S4PL3814,PC Port,SEP247E12BFD03C.asepeyo.site,21459->32
18-01-2022,S4AU9072,gi19,SW-AMU139V0-27,3860->6;26937->4;6188->3
18-01-2022,PC053VFC,gi1,SW-AMU139V0-5,9952->34
18-01-2022,S4PL8837,-,-,11214->17;7368->17;6200->12
18-01-2022,PC0A85PK,-,-,23331->2;1254->1;1183->1
18-01-2022,S4PL4595,PC Port,SEP247E12BF8564.asepeyo.site,6669->7;6673->6;14350->5
18-01-2022,S4PL3822,gi3,SW-AMU139V0-4,7452->35
18-01-2022,S4AU5084,gi18,SW-AMU139V0-25,9862->41;1251->21;20069->1
18-01-2022,S4PL3941,-,-,23611->54;20623->41;25793->30
18-01-2022,PC053VEM,-,-,26589->30;24227->30;80790->16
18-01-2022,S4AU7283,-,-,23877->3;24273->3;13614->2
18-01-2022,S4PL8663,Device Port 3,(empty),1220->29;10287->23;9124->11
18-01-2022,S4AU7842,-,-,20069->44
18-01-2022,S4AV0092,gi17,SW-AMU139V0-25,15548->19;1370->7
18-01-2022,S4PL8663,-,-,1220->29;10287->22;9124->11
18-01-2022,S4M80643,gi13,SW-AMU139V0-17,5095->31;1358->2
18-01-2022,S4AY2961,gi1,SW-AMU139V0-24,9937->24;22389->5;12028->4
18-01-2022,S4PL3270,-,-,12391->28;14043->14;6061->14
18-01-2022,S4PL3950,-,-,11631->10
18-01-2022,S4PL4876,gi2,SW-AMU139V0-4,3167->14
18-01-2022,S4PL3826,gi11,SW-AMU139V0-10,12362->13;4540->2
18-01-2022,S4AU7149,gi11,SW-AMU139V0-20,1336->39
18-01-2022,S4PL4686,-,-,26271->26;27763->13
18-01-2022,S4AU7137,gi12,SW-AMU139V0-36,81249->6;26239->5;81241->5
18-01-2022,S4PL4545,gi9,SW-AMU139V0-17,3115->34
18-01-2022,PC053V7Z,gi12,SW-AMU139V0-8,24227->11;26589->5;80790->1
18-01-2022,S4AU4974,gi15,SW-AMU139V0-30,26481->42;25917->9;14457->8
18-01-2022,S4PL4686,PC Port,SEP247E12BF6687.asepeyo.site,26271->27;27763->12
18-01-2022,S4AU7149,gi11,SW-AMU139V0-20,1336->38
18-01-2022,S4AV0220,-,-,6891->28;9124->13;25441->2
18-01-2022,S4AU7149,gi11,SW-AMU139V0-20,1336->37
18-01-2022,S4PL3933,gi11,SW-AMU139V0-27,1275->22;1254->5;1351->2
18-01-2022,S4PL3741,gi2,SW-AMU139V0-30,80209->10;81249->9;13614->7
18-01-2022,S4PL8751,Port 2,SEPDC774C952927,23613->6;25679->5;1350->4
18-01-2022,S4AV0105,gi17,SW-AMU139V0-15,9986->26;6186->24;21211->22
18-01-2022,S4PL3270,-,-,12391->28;14043->14;6061->13
18-01-2022,S4PL4917,gi2,SW-AMU139V0-31,26303->10;23613->9;25679->5
18-01-2022,S4PL3938,gi15,SW-AMU139V0-15,11875->31;1305->23;11971->18
18-01-2022,S4AU7096,gi16,SW-AMU139V0-31,81091->24;81071->19;80400->7
18-01-2022,S4PL8838,gi7,SW-AMU139V0-12,4139->18
18-01-2022,S4AU7293,-,-,6061->29;10287->4;1220->3
18-01-2022,S4PL4190,gi4,SW-AMU139V0-32,27257->33
18-01-2022,S4PL8663,-,-,1220->29;10287->21;9124->12
18-01-2022,PC0A85QB,PC Port,SEPB4A8B969CB30.asepeyo.site,1254->15;1155->1
18-01-2022,S4PL3819,gi16,SW-AMU139V0-29,3159->15;26271->1
18-01-2022,S4AY2968,gi5,SW-AMU139V0-13,27315->35
18-01-2022,S4PL3099,gi15,SW-AMU139V0-9,4540->23;7333->3;5039->2
18-01-2022,S4PL4065,-,-,6162->31;7083->5;6129->1
18-01-2022,S4PL4073,gi12,SW-AMU139V0-7,6395->14;12907->10;15192->10
18-01-2022,S4PL3746,-,-,27095->38
18-01-2022,S4PL4183,gi2,SW-AMU139V0-13,3445->13
